Date,Price,Open,High,Low,Vol.,Change %,pred
2021-04-12,24.3,22.6,24.4,22.2,3220000,0.0848,1.0
2021-04-11,22.4,21.3,23.8,21.1,1670000,0.0045,1.0
2021-04-08,22.3,21.4,22.9,19.6,1880000,0.0469,1.0
2021-04-07,21.3,19.9,21.5,19.9,1230000,0.0704,1.0
2021-04-06,19.9,18.4,19.9,18.4,842090,0.0994,1.0
2021-04-05,18.1,18.0,18.4,17.9,112120,0.0343,1.0
2021-04-04,17.5,18.0,18.5,17.2,279400,-0.0741,1.0
2021-04-01,18.9,18.0,19.1,17.9,484290,0.0216,1.0
2021-03-31,18.5,19.5,19.5,18.3,467870,-0.0513,1.0
2021-03-29,19.5,19.9,20.0,19.3,483420,-0.0102,1.0
2021-03-28,19.7,19.0,19.8,18.3,577660,0.0591,1.0
2021-03-25,18.6,18.4,19.2,18.4,345280,-0.0053,1.0
2021-03-24,18.7,19.8,19.8,18.5,403190,-0.0556,1.0
2021-03-23,19.8,18.3,19.9,17.8,879310,0.082,1.0
2021-03-22,18.3,18.4,18.4,17.5,192770,0.0281,1.0
2021-03-21,17.8,18.1,18.9,17.3,251690,-0.0111,1.0
2021-03-18,18.0,18.6,18.7,17.9,301320,-0.0476,1.0
2021-03-16,18.9,19.5,19.5,18.8,149220,-0.0105,1.0
2021-03-15,19.1,19.4,19.6,19.0,210230,0.0,1.0
2021-03-14,19.1,19.6,19.7,19.0,221730,-0.0205,1.0
2021-03-11,19.5,20.0,20.0,19.4,315800,-0.0102,1.0
2021-03-10,19.7,20.2,20.2,19.6,301280,-0.015,1.0
2021-03-09,20.0,20.5,20.7,19.9,426810,-0.0244,1.0
2021-03-08,20.5,20.6,20.8,20.3,257490,0.0,1.0
2021-03-07,20.5,21.2,21.2,20.5,320360,-0.0144,1.0
2021-03-04,20.8,20.8,21.2,20.4,564370,0.0146,1.0
2021-03-03,20.5,20.5,20.9,20.1,496470,0.0149,1.0
2021-03-02,20.2,20.5,20.6,20.1,523490,0.0,1.0
2021-03-01,20.2,20.4,20.4,20.0,326430,-0.0049,1.0
2021-02-28,20.3,20.5,21.3,20.2,463730,0.0,1.0
2021-02-25,20.3,19.5,20.9,19.4,848260,0.0518,1.0
2021-02-24,19.3,19.5,19.5,19.0,403040,0.0158,1.0
2021-02-23,19.0,19.7,19.9,18.8,511820,-0.0256,1.0
2021-02-22,19.5,20.5,20.5,19.4,253260,-0.0347,1.0
2021-02-18,20.2,20.5,21.6,20.0,736620,-0.0049,1.0
2021-02-17,20.3,18.8,20.3,18.8,1030000,0.0973,1.0
2021-02-16,18.5,19.3,19.6,18.4,424890,-0.0365,1.0
2021-02-15,19.2,18.8,19.6,18.7,270870,0.0378,1.0
2021-02-14,18.5,20.3,20.3,18.3,530190,-0.0887,1.0
2021-02-11,20.3,21.0,21.0,20.2,358520,-0.0379,1.0
2021-02-10,21.1,21.3,21.5,20.9,249700,0.0,1.0
2021-02-09,21.1,20.7,21.4,20.3,271630,0.0293,1.0
2021-02-08,20.5,21.4,21.6,20.3,340540,-0.0465,1.0
2021-02-07,21.5,22.0,22.5,21.3,524550,-0.0092,1.0
2021-02-04,21.7,21.9,21.9,21.4,227560,0.0093,1.0
2021-02-03,21.5,22.0,22.0,21.4,362550,-0.0092,1.0
2021-02-02,21.7,22.5,23.0,21.6,588470,-0.0269,1.0
2021-02-01,22.3,21.2,22.5,21.2,521360,0.0569,1.0
2021-01-31,21.1,21.6,21.8,21.0,318340,-0.0231,1.0
2021-01-28,21.6,22.0,22.3,21.4,480320,0.0093,1.0
2021-01-27,21.4,22.2,22.5,21.2,479150,-0.0273,1.0
2021-01-26,22.0,22.8,23.0,21.9,541530,-0.0308,1.0
2021-01-25,22.7,23.5,23.9,22.5,973820,-0.0216,1.0
2021-01-24,23.2,22.2,23.9,21.5,910730,0.045,1.0
2021-01-21,22.2,23.2,23.2,22.0,769200,-0.0431,1.0
2021-01-20,23.2,24.7,24.7,23.0,2110000,0.0265,1.0
2021-01-19,22.6,22.6,22.6,22.3,594790,0.0971,1.0
2021-01-18,20.6,22.0,22.0,20.5,572250,-0.0463,1.0
2021-01-17,21.6,22.4,22.4,21.3,611480,-0.0182,1.0
2021-01-14,22.0,22.7,22.8,21.5,833520,-0.0135,1.0
2021-01-13,22.3,23.0,23.2,22.2,646580,-0.0304,1.0
2021-01-12,23.0,23.4,24.4,22.9,955550,-0.0043,1.0
2021-01-11,23.1,23.3,23.4,22.1,1160000,-0.0086,1.0
2021-01-10,23.3,23.9,23.9,23.2,571760,-0.0085,1.0
2021-01-07,23.5,23.3,23.7,22.6,744370,0.0173,1.0
2021-01-06,23.1,23.4,23.8,22.5,807910,-0.0086,1.0
2021-01-05,23.3,24.5,24.8,23.0,1600000,-0.0528,1.0
2021-01-04,24.6,25.0,25.6,24.5,1610000,0.0041,1.0
2021-01-03,24.5,25.4,25.4,24.1,1960000,-0.02,1.0
2020-12-30,25.0,25.5,25.8,24.8,1420000,0.0,1.0
2020-12-29,25.0,25.1,25.6,24.7,1040000,0.0081,1.0
2020-12-28,24.8,25.2,25.5,24.7,981200,-0.008,1.0
2020-12-27,25.0,26.0,26.2,24.8,1760000,-0.0347,1.0
2020-12-24,25.9,26.8,26.9,25.7,2310000,-0.0189,1.0
2020-12-23,26.4,25.9,26.8,25.8,4710000,0.0272,1.0
2020-12-22,25.7,25.4,25.9,25.1,1500000,0.0118,1.0
2020-12-21,25.4,26.3,26.5,25.2,2630000,-0.0155,1.0
2020-12-20,25.8,25.2,25.9,25.1,1720000,0.0238,1.0
2020-12-17,25.2,25.4,25.7,25.0,1190000,0.004,1.0
2020-12-15,25.1,25.0,25.9,24.9,2390000,0.0162,1.0
2020-12-14,24.7,24.5,25.2,24.1,1090000,0.0207,1.0
2020-12-13,24.2,25.0,25.1,24.0,1310000,-0.0397,1.0
2020-12-10,25.2,24.9,25.5,24.7,1660000,0.0161,1.0
2020-12-09,24.8,25.5,25.6,24.7,1010000,-0.0198,1.0
2020-12-08,25.3,24.4,25.5,24.3,1430000,0.0455,1.0
